nuts_code,nuts_level,country,year,ai_adoption_share,n_firms
DE80,2,Germany,2022,0.06578220011055833,12663
DE91,2,Germany,2022,0.09668436167435385,11491
DE92,2,Germany,2022,0.09358155546496354,22078
DE93,2,Germany,2022,0.06703023609001794,14487
DE94,2,Germany,2022,0.08227722772277228,30303
DEA1,2,Germany,2022,0.11171666751557752,58902
DEA2,2,Germany,2022,0.1299927075737056,47995
DEA3,2,Germany,2022,0.08260949916836074,27056
DEA4,2,Germany,2022,0.08816120906801007,24217
DEA5,2,Germany,2022,0.08802498321804862,34264
DEB1,2,Germany,2022,0.07722089258059975,14206
DEB2,2,Germany,2022,0.08456659619450317,4730
DEB3,2,Germany,2022,0.10886617542191586,16829
DEC0,2,Germany,2022,0.10946394686907021,8432
DED2,2,Germany,2022,0.09199757502273416,13196
DED4,2,Germany,2022,0.0765368949512172,10557
DED5,2,Germany,2022,0.1050982030923527,9572
DEE0,2,Germany,2022,0.07626392459297343,14005
DEF0,2,Germany,2022,0.07352612951567133,31364
DEG0,2,Germany,2022,0.08127817555025192,15086
DE11,2,Germany,2023,0.14409970450862644,41965
DE12,2,Germany,2023,0.15152654791616807,29249
DE13,2,Germany,2023,0.11128934362264806,23066
DE14,2,Germany,2023,0.11941969966912701,19646
DE21,2,Germany,2023,0.18653749930505364,71948
DE22,2,Germany,2023,0.09854334155854494,12563
DE23,2,Germany,2023,0.11332417582417582,11648
DE24,2,Germany,2023,0.10672528294827426,10691
DE25,2,Germany,2023,0.1330364160335342,19085
DE26,2,Germany,2023,0.11500878734622144,14225
DE27,2,Germany,2023,0.11563557866849826,20383
DE30,2,Germany,2023,0.20119892911186124,51547
DE40,2,Germany,2023,0.11850015821115915,18963
DE50,2,Germany,2023,0.134624145785877,8781
DE60,2,Germany,2023,0.1710068500598021,36788
DE71,2,Germany,2023,0.1685629119610395,47638
DE72,2,Germany,2023,0.11397991834933245,9063
DE73,2,Germany,2023,0.11023934849538186,10069
DE80,2,Germany,2023,0.08595253367543297,12472
DE91,2,Germany,2023,0.12322443181818182,11264
DE92,2,Germany,2023,0.11625629546726357,21445
DE93,2,Germany,2023,0.08994559457358864,14153
DE94,2,Germany,2023,0.10524020397208803,29811
DEA1,2,Germany,2023,0.13741912921839483,57191
DEA2,2,Germany,2023,0.15540208257606533,46769
DEA3,2,Germany,2023,0.10569474360427768,26464
DEA4,2,Germany,2023,0.11185682326621924,23691
DEA5,2,Germany,2023,0.11115419027736355,33531
DEB1,2,Germany,2023,0.09596541786743516,13880
DEB2,2,Germany,2023,0.10532006920415225,4624
DEB3,2,Germany,2023,0.14362187480990327,16439
DEC0,2,Germany,2023,0.13256238587948874,8215
DED2,2,Germany,2023,0.12078346028291621,12866
DED4,2,Germany,2023,0.0923331387429461,10278
DED5,2,Germany,2023,0.13863393810032018,9370
DEE0,2,Germany,2023,0.09706463655662104,13661
DEF0,2,Germany,2023,0.0926783152953449,30677
DEG0,2,Germany,2023,0.10666213460231136,14711
DE11,2,Germany,2024,0.1663872694973353,39967
